@id,@lon,@lat,name,operator,manufacturer,manufacturer:type,generator:manufacturer,generator:type,generator:output:electricity,power_rating,rotor:diameter,height,ref,note
81821309,12.8373247,52.5871985,,,WindWorld,,,,750 kW,750 kW,,,V-51031,NH 74 m  RD 52 m
81821469,12.8440539,52.5863850,,,WindWorld,,,,750 kW,750 kW,,,V-51103,NH 74 m  RD 52 m
81821594,12.8364836,52.5845911,,,WindWorld,,,,750 kW,750 kW,,,V-51106,NH 74 m  RD 52 m
81821677,12.8429896,52.5830788,,,WindWorld,,,,750 kW,750 kW,,,V-51105,NH 74 m  RD 52 m
81821966,12.8359944,52.5828545,,,WindWorld,,,,750 kW,750 kW,,,V-51102,NH 74 m  RD 52 m
81825489,12.8351446,52.5799339,,,WindWorld,,,,750 kW,750 kW,,,V-51104,NH 74 m  RD 52 m
81825604,12.8302008,52.5810813,,,WindWorld,,,,750 kW,750 kW,,,V-51028,NH 74 m  RD 52 m
81825738,12.8311449,52.5835585,,,WindWorld,,,,750 kW,750 kW,,,V-51027,NH 74 m  RD 52 m
81825886,12.8318745,52.5860357,,,WindWorld,,,,750 kW,750 kW,,,V-51026,NH 74 m  RD 52 m
81825971,12.8326470,52.5884553,,,WindWorld,,,,750 kW,750 kW,,,V-51025,NH 74 m  RD 52 m
81826048,12.8260380,52.5856706,,,WindWorld,,,,750 kW,750 kW,,,V-51022,NH 74 m  RD 52 m
81826165,12.8253514,52.5834021,,,WindWorld,,,,750 kW,750 kW,,,V-51023,NH 74 m  RD 52 m
81826401,12.8292996,52.5783171,,,WindWorld,,,,750 kW,750 kW,,,V-51029,NH 74 m  RD 52 m
81826595,12.8237206,52.5790733,,,WindWorld,,,,750 kW,750 kW,,,V-51107,NH 74 m  RD 52 m
81826806,12.8245360,52.5812378,,,WindWorld,,,,750 kW,750 kW,,,V-51024,NH 74 m  RD 52 m
82727877,6.1910802,51.7071784,,,,,,,,,,,wind world NM 1021,
87853742,13.5274242,50.8957204,,,,,,,,,,,,
87855129,13.5211647,50.9002759,,,,,,,,,,,,
87855313,13.5219145,50.9034308,,,,,,,,,,,,
89497938,6.4252261,51.0922011,,,,,,,,,,,,
89506170,6.4351553,51.0943232,,,,,,,,,,,,
90330379,6.4786699,51.3713376,,,,,,,,,,,,
90335078,6.4745329,51.3743434,,,,,,,,,,,,
93047938,10.0415249,53.5066827,,,,,,,1500 kW,,,,,
94218188,9.9044793,53.3971241,,,,,,,,,,,,
94218190,9.9000659,53.3981037,,,,,,,,,,,,
94220160,9.8938872,53.3955648,,,,,,,,,,,,
94220162,9.8981994,53.3952263,,,,,,,,,,,,
